Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
"Quiksilver, Inc.",D: Manufacturing,23 Apparel And Other Finished Products Made From Fabrics And Similar Materi,Not tort,9/9/15,confirmed,no 363 sale,142,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"6,100",Company emerged,not emerged 5 years,CA Santa Ana,1/29/16,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$835,067,964 ","$1,376 ",Chapter 11,Skadden Arps
Quorum Health Corporation,I: Services,80 Health Services,Not tort,4/7/20,confirmed,no 363 sale,84,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"9,200",Company emerged,not emerged 5 years,TN Nashville,6/30/20,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,716,546,508 ","$1,516 ",Chapter 11,McDermott Will
R H Macy & Co. Inc.,G: Retail Trade,53 General Merchandise Stores,Not tort,1/27/92,confirmed,no 363 sale,"1,046",DE,NY SD,New York,Filed at headquarters,debtors,free fall,"69,500",company did not emerge,not emerged 5 years,NY New York,12/8/94,b $1 billion but less than $10 billion,"a 30,000 and over","$12,753,983,983 ","$9,076 ",Chapter 11,Weil Gotshal
R.H. Donnelley Corporation,I: Services,73 Business Services,Not tort,5/28/09,confirmed,no 363 sale,229,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"3,800",Company emerged,"emerged 5 years, refiled",NC Raleigh,1/12/10,a $10 billion and over,"c 1,000 but less than 10,000","$3,186,588,258 ","$14,468 ",Chapter 11,Sidley Austin
RAAM Global Energy Company,B: Mining,13 Oil And Gas Extraction,Not tort,10/26/15,confirmed,no 363 sale,85,DE,TX SD,Houston,Forum Shop,debtors,free fall,69,company did not emerge,not emerged 5 years,KY Lexington,1/19/16,d Less than $500 million,e Less than 200,"$156,758,829 ",$429 ,Chapter 11,Vinson Elkins
Radice Corp.,"H: Finance, Insurance, And Real Estate",65 Real Estate,Not tort,2/25/88,confirmed,no 363 sale,414,FL,FL SD,Miami,Forum Shop,debtors,free fall,237,Company emerged,"emerged 5 years, did not refile",FL Fort Lauderdale,4/14/89,c $500 million but less than $1billion,"d 200 but less than 1,000","$98,499,590 ",$649 ,Chapter 11,Greenberg Traurig
RadioShack Corporation,G: Retail Trade,"57 Home Furniture, Furnishings, and Equipment Stores",Not tort,2/5/15,confirmed,363 sale,239,DE,DE,Wilmington,Forum Shop,debtors,free fall,"27,500",company did not emerge,not emerged 5 years,TX Fort Worth,10/2/15,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$3,811,086,554 ","$1,766 ",Chapter 11,Jones Day
Radnor Holdings Corporation,D: Manufacturing,30 Rubber and Miscellaneous Plastics Products,Not tort,8/21/06,confirmed,363 sale,"2,212",DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,994",company did not emerge,not emerged 5 years,PA Philadelphia,9/10/12,d Less than $500 million,"c 1,000 but less than 10,000","$593,563,910 ",$462 ,Chapter 11,Skadden Arps
RAIT Financial Trust,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,8/30/19,confirmed,363 sale,153,MD,DE,Wilmington,Forum Shop,debtors,free fall,25,company did not emerge,not emerged 5 years,PA Philadelphia,1/30/20,c $500 million but less than $1billion,e Less than 200,"$50,012,900 ",$745 ,Chapter 11,Drinker Biddle
"RathGibson, Inc.",D: Manufacturing,33 Primary Metal Industries,Not tort,7/13/09,confirmed,no 363 sale,312,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,570,Company emerged,"emerged 5 years, did not refile",IL Chicago,5/21/10,d Less than $500 million,"d 200 but less than 1,000","$392,435,401 ",$399 ,Chapter 11,Willkie Farr
RCN Corporation,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,5/27/04,confirmed,no 363 sale,195,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"2,537",Company emerged,"emerged 5 years, did not refile",NJ Trenton,12/8/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$667,857,540 ","$2,107 ",Chapter 11,Skadden Arps
RCS Capital Corporation,"H: Finance, Insurance, And Real Estate","62 Security And Commodity Brokers, Dealers, Exchanges, And Services",Not tort,1/31/16,confirmed,no 363 sale,109,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"2,128",Company emerged,not emerged 5 years,NY New York,5/19/16,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,311,229,045 ","$2,712 ",Chapter 11,Dechert
RDA Holding Co. (2013),D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Not tort,2/17/13,confirmed,no 363 sale,131,DE,NY SD,White Plains,Forum Shop,debtors,prenegotiated,"2,090",Company emerged,"emerged 5 years, did not refile",NY New York,6/28/13,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,613,559,724 ","$1,755 ",Chapter 11,Weil Gotshal
"RDM Sports Group, Inc.",D: Manufacturing,37 Transportation Equipment,Not tort,8/29/97,confirmed,363 sale,"1,054",DE,GA ND,Atlanta,Forum Shop,debtors,free fall,"1,900",company did not emerge,not emerged 5 years,GA Newnan,7/18/00,d Less than $500 million,"c 1,000 but less than 10,000","$594,003,830 ",$475 ,Chapter 11,Smith Gambrell
Read-Rite Corp.,D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,6/17/03,Chapter 7 at filing,Chapter 7 at filing,,DE,CA ND,Oakland,Filed at headquarters,debtors,not applicable,"8,494",company did not emerge,not emerged 5 years,CA Oakland,,d Less than $500 million,"c 1,000 but less than 10,000","$372,602,598 ",$373 ,Chapter 7,Goldberg Stinnett
"Readers Digest Association, Inc.",D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Not tort,8/24/09,confirmed,no 363 sale,148,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"4,700",Company emerged,"emerged 5 years, refiled",NY White Plains,1/19/10,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,309,399,402 ","$4,785 ",Chapter 11,Kirkland Ellis
"Real Industry, Inc.",F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,11/17/17,confirmed,no 363 sale,166,DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,800",Company emerged,not emerged 5 years,NY New York,5/2/18,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,319,640,319 ",$682 ,Chapter 11,Morrison Foerster
"Real Mex Restaurants, Inc.",G: Retail Trade,58 Eating and Drinking Places,Not tort,10/4/11,dismissed,363 sale,506,DE,DE,Wilmington,Forum Shop,debtors,free fall,"10,843",Company emerged,"emerged 5 years, did not refile",CA Santa Ana,2/21/13,d Less than $500 million,"b 10,000 but less than 30,000","$262,183,490 ",$324 ,Chapter 11,Milbank Tweed
Recoton Corp.,D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,4/8/03,confirmed,363 sale,394,NY,NY SD,New York,Forum Shop,debtors,free fall,"3,354",company did not emerge,not emerged 5 years,FL Orlando,5/6/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$868,719,053 ",$649 ,Chapter 11,Stroock Stroock
"Recycling Industries, Inc.",F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,2/26/99,dismissed,no 363 sale,651,CO,CO,Denver,Filed at headquarters,debtors,free fall,975,not classified,not classified,CO Denver,12/8/00,d Less than $500 million,"d 200 but less than 1,000","$514,802,714 ",$482 ,Chapter 11,Lindquist Vennum
Redback Networks Inc.,I: Services,73 Business Services,Not tort,11/3/03,confirmed,no 363 sale,46,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,596,Company emerged,"emerged 5 years, did not refile",CA San Jose,12/19/03,c $500 million but less than $1billion,"d 200 but less than 1,000","$177,360,911 ",$933 ,Chapter 11,Pachulski Stang
"Reddy Ice Holdings, Inc.",D: Manufacturing,20 Food and Kindred Products,Not tort,4/12/12,confirmed,no 363 sale,40,DE,TX ND,Dallas,Filed at headquarters,debtors,prenegotiated,"2,700",Company emerged,"emerged 5 years, did not refile",TX Dallas,5/22/12,d Less than $500 million,"c 1,000 but less than 10,000","$371,845,498 ",$491 ,Chapter 11,DLA Piper
Reeves Industries Inc.,D: Manufacturing,22 Textile Mill Products,Not tort,11/21/97,confirmed,no 363 sale,109,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"2,370",Company emerged,"emerged 5 years, did not refile",CT Bridgeport,3/10/98,d Less than $500 million,"c 1,000 but less than 10,000","$416,113,263 ",$382 ,Chapter 11,Proskauer Rose
Refco Finance Inc.,"H: Finance, Insurance, And Real Estate","62 Security And Commodity Brokers, Dealers, Exchanges, And Services",Fraud,10/17/05,confirmed,363 sale,424,DE,NY SD,New York,Filed at headquarters,debtors,free fall,"2,448",company did not emerge,not emerged 5 years,NY New York,12/15/06,a $10 billion and over,"c 1,000 but less than 10,000","$3,241,541,396 ","$63,769 ",Chapter 11,Skadden Arps
"Reliance Acceptance Group, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Fraud,2/9/98,confirmed,no 363 sale,143,DE,DE,Wilmington,Forum Shop,debtors,free fall,520,no data,no data,TX San Antonio,7/2/98,c $500 million but less than $1billion,"d 200 but less than 1,000","$117,446,584 ",$890 ,Chapter 11,Kirkland Ellis
"Reliance Group Holdings, Inc.","H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,6/12/01,confirmed,no 363 sale,"1,609",DE,NY SD,New York,Filed at headquarters,debtors,prenegotiated,"6,050",Company emerged,"emerged 5 years, did not refile",NY New York,11/7/05,a $10 billion and over,"c 1,000 but less than 10,000","$4,613,901,809 ","$21,387 ",Chapter 11,Debevoise Plimpton
"Reliant Building Products, Inc.",D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,7/11/00,confirmed,no 363 sale,247,DE,TX ND,Dallas,Filed at headquarters,debtors,free fall,"3,200",no data,no data,TX Dallas,3/15/01,d Less than $500 million,"c 1,000 but less than 10,000","$425,079,097 ",$367 ,Chapter 11,Strasburger Price
"Remy International, Inc.",D: Manufacturing,37 Transportation Equipment,Not tort,10/8/07,confirmed,no 363 sale,43,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"7,971",Company emerged,"emerged 5 years, did not refile",IN Indianapolis,11/20/07,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,532,357,694 ","$1,086 ",Chapter 11,Shearman Sterling
"Renaissance Cosmetics, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Not tort,6/2/99,converted,363 sale,"1,686",DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,189",Company emerged,"emerged 5 years, did not refile",CT Bridgeport,1/13/04,d Less than $500 million,"c 1,000 but less than 10,000","$281,625,366 ",$376 ,Chapter 11,Morris Nichols
"Rentech, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Not tort,12/19/17,confirmed,363 sale,106,CO,DE,Wilmington,Forum Shop,debtors,free fall,625,company did not emerge,not emerged 5 years,CA Los Angeles,4/4/18,d Less than $500 million,"d 200 but less than 1,000","$159,274,118 ",$330 ,Chapter 11,Latham Watkins
REPH Acquisition Co.,I: Services,80 Health Services,Not tort,12/15/89,confirmed,no 363 sale,122,DE,TX ND,Dallas,Filed at headquarters,debtors,free fall,"6,100",Company emerged,"emerged 5 years, did not refile",TX Dallas,4/16/90,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,025,199,637 ","$1,147 ",Chapter 11,no data
Republic Airways Holdings Inc.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,2/25/16,confirmed,no 363 sale,420,DE,NY SD,New York,Forum Shop,debtors,free fall,"5,581",Company emerged,not emerged 5 years,IN Indianapolis,4/20/17,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,476,426,889 ","$3,970 ",Chapter 11,Zirinsky
"Republic Engineered Products Holdings, LLC (2003)",D: Manufacturing,33 Primary Metal Industries,Not tort,10/6/03,dismissed,363 sale,497,DE,OH ND,Akron,Filed at headquarters,debtors,free fall,"2,494",Company emerged,"emerged 5 years, did not refile",OH Akron,2/14/05,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,284,086,133 ",$668 ,Chapter 11,Weil Gotshal
"Republic Technologies International Holdings, LLC (2001)",D: Manufacturing,33 Primary Metal Industries,Not tort,4/2/01,dismissed,363 sale,"1,101",DE,OH ND,Akron,Filed at headquarters,debtors,free fall,"3,889",Company emerged,"emerged 5 years, refiled",OH Akron,4/7/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,863,222,499 ","$1,763 ",Chapter 11,Weil Gotshal
Residential Resources Mortgage Investments Corp.,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,1/9/89,confirmed,no 363 sale,507,MD,AZ,Phoenix,Filed at headquarters,debtors,free fall,1,Company emerged,"emerged 5 years, did not refile",AZ Phoenix,5/31/90,c $500 million but less than $1billion,e Less than 200,"$34,207,915 ",$528 ,Chapter 11,O'Connor Cavenagh
Resorts International Inc. (1989),I: Services,"70 Hotels, Rooming Houses, Camps, and Other Lodging Places",Not tort,11/12/89,confirmed,no 363 sale,287,DE,NJ,Camden,Forum Shop,creditors,prenegotiated,"7,500",Company emerged,"emerged 5 years, refiled",FL Miami,8/26/90,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$943,356,555 ","$2,140 ",Chapter 11,Ravin Sarasohn
Resorts International Inc. (1994),I: Services,79 Amusement And Recreation Services,Not tort,3/21/94,confirmed,no 363 sale,32,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"7,400",Company emerged,"emerged 5 years, did not refile",NJ Camden,4/22/94,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$777,819,248 ","$1,019 ",Chapter 11,Gibson Dunn
Restaurant Enterprises Group Inc.,G: Retail Trade,58 Eating and Drinking Places,Not tort,11/23/93,confirmed,no 363 sale,45,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"36,750",Company emerged,"emerged 5 years, did not refile",CA Santa Ana,1/7/94,c $500 million but less than $1billion,"a 30,000 and over","$1,661,582,940 ",$696 ,Chapter 11,Stutman Treister
Revco D.S. Inc.,G: Retail Trade,59 Miscellaneous Retail,Not tort,7/28/88,confirmed,no 363 sale,"1,324",DE,OH ND,Akron,Filed at headquarters,debtors,free fall,"26,000",Company emerged,"emerged 5 years, did not refile",OH Akron,3/13/92,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$5,295,781,521 ","$4,150 ",Chapter 11,Baker Hostetler
"Revel AC, Inc. (2013)",I: Services,"70 Hotels, Rooming Houses, Camps, and Other Lodging Places",Not tort,3/25/13,confirmed,no 363 sale,51,DE,NJ,Camden,Filed at headquarters,debtors,prepackaged,"3,100",Company emerged,"emerged 5 years, refiled",NJ Camden,5/15/13,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$171,408,904 ","$1,285 ",Chapter 11,Kirkland Ellis
"Revel AC, Inc. (2014)",I: Services,"70 Hotels, Rooming Houses, Camps, and Other Lodging Places",Not tort,6/19/14,confirmed,363 sale,376,DE,NJ,"Camden Court New Jersey,",Filed at headquarters,debtors,free fall,"3,100",company did not emerge,not emerged 5 years,NJ Camden,6/30/15,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$191,159,038 ","$1,255 ",Chapter 11,White Case
Revere Copper & Brass Inc.,D: Manufacturing,33 Primary Metal Industries,Not tort,10/27/82,confirmed,no 363 sale,"1,006",MD,NY SD,New York,Filed at headquarters,debtors,free fall,"6,507",Company emerged,"emerged 5 years, did not refile",NY New York,7/29/85,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,177,424,711 ","$1,257 ",Chapter 11,Weil Gotshal
Rex Energy Corporation,B: Mining,13 Oil And Gas Extraction,Not tort,5/18/18,confirmed,363 sale,151,DE,PA WD,Pittsburgh,Forum Shop,debtors,free fall,105,company did not emerge,not emerged 5 years,PA Williamsport,10/16/18,c $500 million but less than $1billion,e Less than 200,"$212,515,923 ",$975 ,Chapter 11,Jones Day
Rexene Corp.,D: Manufacturing,28 Chemicals and Allied Products,Not tort,10/18/91,confirmed,no 363 sale,263,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,295",Company emerged,"emerged 5 years, did not refile",TX Dallas,7/7/92,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$952,011,617 ",$874 ,Chapter 11,Simpson Thacher
"RHI Entertainment, Inc.",I: Services,78 Motion Pictures,Not tort,12/10/10,confirmed,no 363 sale,109,DE,NY SD,New York,Filed at headquarters,debtors,prepackaged,80,Company emerged,"emerged 5 years, did not refile",NY New York,3/29/11,c $500 million but less than $1billion,e Less than 200,"$92,424,840 ",$699 ,Chapter 11,Latham Watkins
"Rhythms NetConnections, Inc.",I: Services,73 Business Services,Not tort,8/1/01,confirmed,363 sale,209,DE,NY SD,New York,Forum Shop,debtors,free fall,"2,000",company did not emerge,not emerged 5 years,CO Denver,2/26/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$67,705,630 ","$1,550 ",Chapter 11,Weil Gotshal
Rickel Home Centers Inc.,G: Retail Trade,"52 Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Not tort,1/10/96,converted,no 363 sale,"1,869",DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"5,500",company did not emerge,not emerged 5 years,NJ Trenton,2/21/01,d Less than $500 million,"c 1,000 but less than 10,000","$241,274,165 ",$447 ,Chapter 11,Fried Frank
Rosehill Resources Inc.,B: Mining,13 Oil And Gas Extraction,Not tort,7/26/20,confirmed,no 363 sale,33,DE,TX SD,Houston,Filed at headquarters,debtors,prepackaged,89,Company emerged,not emerged 5 years,TX Houston,8/28/20,c $500 million but less than $1billion,e Less than 200,"$303,884,825 ",$877 ,Chapter 11,Gibson Dunn
Roses Stores Inc.,G: Retail Trade,53 General Merchandise Stores,Not tort,9/5/93,confirmed,no 363 sale,465,DE,NC ED,Raleigh,Filed at headquarters,debtors,free fall,"18,000",Company emerged,"emerged 5 years, did not refile",NC Raleigh,12/14/94,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$2,520,910,814 ",$606 ,Chapter 11,Proskauer Rose
Rotech Healthcare Inc.,I: Services,80 Health Services,Not tort,4/8/13,confirmed,no 363 sale,143,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"3,800",Company emerged,"emerged 5 years, did not refile",FL Orlando,8/29/13,d Less than $500 million,"c 1,000 but less than 10,000","$541,927,644 ",$310 ,Chapter 11,Proskauer Rose
"Rouge Industries, Inc.",D: Manufacturing,33 Primary Metal Industries,Not tort,10/23/03,confirmed,363 sale,"2,020",DE,DE,Wilmington,Forum Shop,debtors,free fall,"2,705",Company emerged,"emerged 5 years, did not refile",MI Detroit,5/4/09,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,586,779,449 ",$919 ,Chapter 11,Morris Nichols
"RSL Communications, Ltd.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,3/19/01,confirmed,363 sale,942,Bermuda,NY SD,New York,Forum Shop,debtors,free fall,"2,800",company did not emerge,not emerged 5 years,Outside United States,10/17/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,173,080,477 ","$2,665 ",Chapter 11,LeBoeuf Lamb
"RTW Retailwinds, Inc.",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,7/13/20,confirmed,363 sale,150,DE,NJ,Newark,Forum Shop,debtors,free fall,"4,971",company did not emerge,not emerged 5 years,NY New York,12/10/20,d Less than $500 million,"c 1,000 but less than 10,000","$831,372,296 ",$414 ,Chapter 11,Cole Schotz
Sabine Oil & Gas Corporation,B: Mining,13 Oil And Gas Extraction,Not tort,7/15/15,confirmed,no 363 sale,378,NY,NY SD,New York,Forum Shop,debtors,free fall,289,Company emerged,not emerged 5 years,TX Houston,7/27/16,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$507,212,361 ","$2,661 ",Chapter 11,Kirkland Ellis
Safelite Glass Corporation,I: Services,"75 Automotive Repair, Services, and Parking",Not tort,6/9/00,confirmed,no 363 sale,95,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"6,300",Company emerged,"emerged 5 years, did not refile",OH Columbus,9/12/00,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,325,033,051 ",$867 ,Chapter 11,Willkie Farr
Safety Kleen Corp.,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,6/9/00,confirmed,no 363 sale,"1,148",DE,DE,Wilmington,Forum Shop,debtors,free fall,"9,990",company did not emerge,not emerged 5 years,SC Columbia,8/1/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,547,175,850 ","$6,598 ",Chapter 11,Skadden Arps
Salant Corp. (1990),D: Manufacturing,23 Apparel And Other Finished Products Made From Fabrics And Similar Materi,Not tort,6/27/90,confirmed,no 363 sale,"1,129",DE,NY SD,New York,Filed at headquarters,debtors,free fall,"6,900",Company emerged,"emerged 5 years, did not refile",NY New York,7/30/93,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$941,678,679 ",$668 ,Chapter 11,Fried Frank
Salant Corp. (1998),D: Manufacturing,23 Apparel And Other Finished Products Made From Fabrics And Similar Materi,Not tort,12/29/98,confirmed,no 363 sale,108,DE,NY SD,New York,Filed at headquarters,debtors,prenegotiated,"3,800",Company emerged,"emerged 5 years, did not refile",NY New York,4/16/99,d Less than $500 million,"c 1,000 but less than 10,000","$630,655,390 ",$371 ,Chapter 11,Fried Frank
"Sambos Restaurants, Inc.",G: Retail Trade,58 Eating and Drinking Places,Not tort,11/27/81,confirmed,no 363 sale,"1,343",CA,CA CD,Los Angeles,Filed at headquarters,debtors,free fall,"32,000",company did not emerge,not emerged 5 years,CA Los Angeles,8/1/85,b $1 billion but less than $10 billion,"a 30,000 and over","$1,359,829,953 ","$1,175 ",Chapter 11,Stutman Treister
Samson Resources Corporation,B: Mining,13 Oil And Gas Extraction,Not tort,9/16/15,confirmed,no 363 sale,516,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,997,Company emerged,not emerged 5 years,OK Tulsa,2/13/17,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$1,289,202,076 ","$6,139 ",Chapter 11,Kirkland Ellis
Sanchez Energy Corporation,B: Mining,13 Oil And Gas Extraction,Not tort,8/11/19,confirmed,no 363 sale,263,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,266,Company emerged,not emerged 5 years,TX Houston,4/30/20,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$1,073,046,318 ","$2,863 ",Chapter 11,Akin Gump
"SandRidge Energy, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,5/16/16,confirmed,no 363 sale,116,DE,TX SD,Houston,Forum Shop,debtors,prenegotiated,"1,165",Company emerged,not emerged 5 years,OK Oklahoma City,9/9/16,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$833,490,994 ","$3,243 ",Chapter 11,Kirkland Ellis
Saxon Industries Inc.,F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,4/15/82,confirmed,no 363 sale,"1,071",DE,NY SD,New York,Filed at headquarters,debtors,free fall,"7,200",Company emerged,"emerged 5 years, did not refile",NY New York,3/21/85,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,947,656,595 ","$1,336 ",Chapter 11,Burns Summit
"Sbarro, Inc.",G: Retail Trade,58 Eating and Drinking Places,Not tort,4/4/11,confirmed,no 363 sale,227,NY,NY SD,New York,Forum Shop,debtors,prenegotiated,"5,300",Company emerged,"emerged 5 years, refiled",NY Central Islip,11/17/11,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$392,941,589 ",$567 ,Chapter 11,Kirkland Ellis
"School Specialty, Inc.",F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,1/28/13,confirmed,no 363 sale,116,WI,DE,Wilmington,Forum Shop,debtors,free fall,"1,750",Company emerged,"emerged 5 years, did not refile",WI Milwaukee,5/24/13,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$827,968,663 ",$524 ,Chapter 11,Paul Weiss
Sea Containers Ltd.,"E: Transportation, Communications, Electric, Gas",44 Water Transportation,Not tort,10/15/06,confirmed,no 363 sale,771,Bermuda,DE,Wilmington,Forum Shop,debtors,free fall,"14,500",Company emerged,"emerged 5 years, did not refile",Outside United States,11/24/08,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$2,249,417,581 ","$3,532 ",Chapter 11,Sidley Austin
"Seahawk Drilling, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,2/11/11,confirmed,363 sale,229,DE,TX SD,Corpus Christi,Forum Shop,debtors,free fall,600,company did not emerge,not emerged 5 years,TX Houston,9/28/11,c $500 million but less than $1billion,"d 200 but less than 1,000","$342,667,683 ",$736 ,Chapter 11,Fulbright Jaworski
Sears Holdings Corporation,G: Retail Trade,53 General Merchandise Stores,Not tort,10/15/18,confirmed,363 sale,365,DE,NY SD,New York,Forum Shop,debtors,free fall,"89,000",case pending,not emerged 5 years,IL Chicago,10/15/19,b $1 billion but less than $10 billion,"a 30,000 and over","$17,203,221,812 ","$7,480 ",Chapter 11,Weil Gotshal
"Seatrain Lines, Inc.","E: Transportation, Communications, Electric, Gas",44 Water Transportation,Not tort,2/11/81,confirmed,no 363 sale,"2,238",DE,NY SD,New York,Filed at headquarters,creditors,free fall,"1,900",Company emerged,"emerged 5 years, did not refile",NY New York,3/30/87,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$220,854,690 ","$2,707 ",Chapter 11,Stroock Stroock
Security Bank Corporation,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,7/31/09,Chapter 7 at filing,Chapter 7 at filing,,GA,GA MD,Macon,Filed at headquarters,debtors,not applicable,405,company did not emerge,not emerged 5 years,GA Macon,,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$199,023,177 ","$3,442 ",Chapter 7,Troutman Sanders
Seitel Inc.,B: Mining,13 Oil And Gas Extraction,Fraud?,6/6/03,confirmed,no 363 sale,286,DE,DE,Wilmington,Forum Shop,creditors,free fall,153,Company emerged,"emerged 5 years, did not refile",TX Houston,3/18/04,c $500 million but less than $1billion,e Less than 200,"$212,399,036 ",$565 ,Chapter 11,Greenberg Traurig
Servam Corp.,G: Retail Trade,59 Miscellaneous Retail,Not tort,10/20/92,confirmed,no 363 sale,253,DE,CT,Bridgeport,Filed at headquarters,debtors,free fall,"19,000",Company emerged,"emerged 5 years, did not refile",CT Bridgeport,6/30/93,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$1,639,415,641 ",$538 ,Chapter 11,Paul Weiss
"Service Merchandise Company, Inc.",G: Retail Trade,53 General Merchandise Stores,Not tort,3/15/99,confirmed,no 363 sale,"1,520",TN,TN MD,Nashville,Filed at headquarters,creditors,free fall,"42,700",company did not emerge,not emerged 5 years,TN Nashville,5/13/03,b $1 billion but less than $10 billion,"a 30,000 and over","$5,003,508,211 ","$2,568 ",Chapter 11,Skadden Arps
"Seven Seas Petroleum, Inc.",B: Mining,13 Oil And Gas Extraction,Fraud,12/20/02,confirmed,no 363 sale,227,Cayman Islands,TX SD,Houston,Filed at headquarters,creditors,free fall,72,not classified,not classified,TX Houston,8/4/03,d Less than $500 million,e Less than 200,"$25,174,834 ",$442 ,Chapter 11,Floyd Isgur
