Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
Covia Holdings Corporation,B: Mining,"14 Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Not tort,6/29/20,confirmed,no 363 sale,168,DE,TX SD,Houston,Forum Shop,debtors,prenegotiated,"2,633",Company emerged,not emerged 5 years,OH Cleveland,12/14/20,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,612,013,334 ","$2,472 ",Chapter 11,Kirkland Ellis
Creditrust Corporation,I: Services,73 Business Services,Not tort,6/21/00,confirmed,no 363 sale,211,MD,MD,Baltimore,Filed at headquarters,debtors,free fall,900,company did not emerge,not emerged 5 years,MD Baltimore,1/18/01,d Less than $500 million,"d 200 but less than 1,000","$122,416,737 ",$371 ,Chapter 11,Swidler Berlin
Criimi Mae Inc.,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,10/5/98,confirmed,no 363 sale,779,MD,MD,Greenbelt,Filed at headquarters,debtors,free fall,169,Company emerged,"emerged 5 years, did not refile",MD Greenbelt,11/22/00,b $1 billion but less than $10 billion,e Less than 200,"$225,157,537 ","$2,975 ",Chapter 11,Akin Gump
Crown Pacific Partners L.P.,D: Manufacturing,"24 Lumber And Wood Products, Except Furniture",Not tort,6/29/03,confirmed,no 363 sale,540,DE,AZ,Phoenix,Forum Shop,debtors,free fall,769,company did not emerge,not emerged 5 years,OR Portland,12/20/04,c $500 million but less than $1billion,"d 200 but less than 1,000","$686,562,389 ",$869 ,Chapter 11,Andrews Kurth
Crown Vantage Inc.,D: Manufacturing,26 Paper and Allied Products,Not tort,3/15/00,confirmed,363 sale,614,VA,CA ND,Oakland,Forum Shop,debtors,free fall,"2,675",company did not emerge,not emerged 5 years,OH Cincinnati,11/19/01,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,124,359,147 ",$847 ,Chapter 11,Shearman Sterling
"Crystal Brands, Inc.",D: Manufacturing,23 Apparel And Other Finished Products Made From Fabrics And Similar Materi,Not tort,1/21/94,confirmed,no 363 sale,550,DE,NY SD,New York,Forum Shop,debtors,free fall,"4,200",company did not emerge,not emerged 5 years,CT Bridgeport,7/25/95,d Less than $500 million,"c 1,000 but less than 10,000","$791,577,279 ",$443 ,Chapter 11,Weil Gotshal
Crystal Oil Co.,B: Mining,13 Oil And Gas Extraction,Not tort,10/1/86,confirmed,no 363 sale,91,LA,LA WD,Shreveport,Filed at headquarters,debtors,prepackaged,283,Company emerged,"emerged 5 years, did not refile",LA Shreveport,12/31/86,c $500 million but less than $1billion,"d 200 but less than 1,000","$222,845,780 ",$807 ,Chapter 11,Fulbright Jaworski
"CTC Communications Group, Inc.",I: Services,73 Business Services,Not tort,10/3/02,confirmed,no 363 sale,413,DE,DE,Wilmington,Forum Shop,debtors,free fall,705,Company emerged,"emerged 5 years, did not refile",MA Boston,11/20/03,c $500 million but less than $1billion,"d 200 but less than 1,000","$430,203,054 ",$528 ,Chapter 11,Young Conaway
Cumulus Media Inc.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,11/29/17,confirmed,no 363 sale,162,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"5,479",Company emerged,not emerged 5 years,GA Atlanta,5/10/18,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,205,279,235 ","$2,548 ",Chapter 11,Paul Weiss
Dade Behring Inc.,D: Manufacturing,28 Chemicals and Allied Products,Not tort,8/1/02,confirmed,no 363 sale,48,DE,IL ND,Chicago,Filed at headquarters,debtors,prepackaged,"7,090",Company emerged,"emerged 5 years, did not refile",IL Chicago,9/18/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,887,175,212 ","$2,401 ",Chapter 11,Kirkland Ellis
Dailey International Inc.,B: Mining,13 Oil And Gas Extraction,Not tort,5/28/99,confirmed,no 363 sale,83,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,759,company did not emerge,not emerged 5 years,TX Houston,8/19/99,d Less than $500 million,"d 200 but less than 1,000","$207,371,470 ",$427 ,Chapter 11,Haynes Boone
Daisy Systems Corp.,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,5/30/90,no data,363 sale,,CA,CO,Denver,Filed at headquarters,creditors,free fall,"1,207",company did not emerge,not emerged 5 years,CO Denver,,d Less than $500 million,"c 1,000 but less than 10,000","$309,889,466 ",$327 ,Chapter 11,Stutman Treister
DaisyTek International Corp.,F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,5/7/03,confirmed,no 363 sale,315,DE,TX ND,Dallas,Forum Shop,debtors,free fall,"1,200",company did not emerge,not emerged 5 years,TX Sherman,3/17/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,682,080,054 ",$588 ,Chapter 11,Vinson Elkins
Dan River Inc.,D: Manufacturing,22 Textile Mill Products,Not tort,3/31/04,confirmed,no 363 sale,293,GA,GA ND,Newnan,Forum Shop,debtors,free fall,"5,100",Company emerged,"emerged 5 years, refiled",VA Lynchburg,1/18/05,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$663,622,147 ",$601 ,Chapter 11,King Spalding
