index,Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,363sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
255,Constar International Inc. (2008),D: Manufacturing,30 Rubber and Miscellaneous Plastics Products,Not tort,2008-12-30,confirmed,no 363 sale,135.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,1746.0,Company emerged,"emerged 5 years, refiled",PA Philadelphia,2009-05-14,c $500 million but less than $1billion,"c 1,000 but less than 10,000",1092414573.0,585.0,Chapter 11,Wilmer Cutler
256,Constar International Inc. (2011),D: Manufacturing,30 Rubber and Miscellaneous Plastics Products,Not tort,2011-01-11,confirmed,no 363 sale,129.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,1238.0,Company emerged,"emerged 5 years, refiled",PA Philadelphia,2011-05-20,d Less than $500 million,"c 1,000 but less than 10,000",498168959.0,480.0,Chapter 11,Wilmer Cutler
257,ContiFinancial Corp.,"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,2000-05-17,confirmed,no 363 sale,216.0,DE,NY SD,New York,Filed at headquarters,debtors,free fall,3330.0,company did not emerge,not emerged 5 years,NY New York,2000-12-19,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",384546196.0,3577.0,Chapter 11,Dewey LeBoeuf
258,Continental Airlines Corp. (1983),"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,1983-09-24,confirmed,no 363 sale,1074.0,NV,TX SD,Houston,Filed at headquarters,debtors,free fall,12900.0,Company emerged,"emerged 5 years, refiled",TX Houston,1986-09-02,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",3691164897.0,2724.0,Chapter 11,Weil Gotshal
259,"Continental Airlines, Inc. (1990)","E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,1990-12-03,confirmed,no 363 sale,865.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,31400.0,Company emerged,"emerged 5 years, did not refile",TX Houston,1993-04-16,b $1 billion but less than $10 billion,"a 30,000 and over",12945682391.0,7658.0,Chapter 11,Fulbright Jaworski
260,Continental Information Systems Corp,I: Services,73 Business Services,Not tort,1989-01-13,confirmed,no 363 sale,2147.0,NY,NY SD,New York,Forum Shop,debtors,free fall,955.0,Company emerged,"emerged 5 years, did not refile",NY Syracuse,1994-11-30,b $1 billion but less than $10 billion,"d 200 but less than 1,000",1177611343.0,4142.0,Chapter 11,Levin Weintraub
261,"Convergent Communications, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,2001-04-19,confirmed,no 363 sale,363.0,CO,CO,Denver,Filed at headquarters,debtors,free fall,1559.0,company did not emerge,not emerged 5 years,CO Denver,2002-04-17,d Less than $500 million,"c 1,000 but less than 10,000",235589825.0,434.0,Chapter 11,Gibson Dunn
262,Cook United Inc. (1984),G: Retail Trade,53 General Merchandise Stores,Not tort,1984-10-01,confirmed,no 363 sale,729.0,OH,OH ND,Cleveland,Filed at headquarters,debtors,free fall,5454.0,Company emerged,"emerged 5 years, refiled",OH Cleveland,1986-09-30,d Less than $500 million,"c 1,000 but less than 10,000",1374018902.0,411.0,Chapter 11,Burns Summit
263,"Cooper-Standard Holdings, Inc.",D: Manufacturing,37 Transportation Equipment,Not tort,2009-08-03,confirmed,no 363 sale,282.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,18046.0,Company emerged,"emerged 5 years, did not refile",MI Detroit,2010-05-12,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",3130272535.0,2194.0,Chapter 11,Fried Frank
264,"Cooperative Bankshares, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,2009-08-19,Chapter 7 at filing,Chapter 7 at filing,,NC,NC ED,Wilson,Forum Shop,debtors,not applicable,238.0,company did not emerge,not emerged 5 years,NC Wilmington,,b $1 billion but less than $10 billion,"d 200 but less than 1,000",68596715.0,1147.0,Chapter 7,Nicholls Crampton
